Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Disclaimers (product.metafields.custom.disclaimers),ISBN (Media) (product.metafields.custom.med_isbn),SpecficationXX (product.metafields.custom.specficationxx),Vintage (product.metafields.custom.vintage),Art style (product.metafields.shopify.art-style),Book cover type (product.metafields.shopify.book-cover-type),Color (product.metafields.shopify.color-pattern),Compatible string instrument (product.metafields.shopify.compatible-string-instrument),Condition (product.metafields.shopify.condition),Dispenser type (product.metafields.shopify.dispenser-type),Fastener finish (product.metafields.shopify.fastener-finish),Genre (product.metafields.shopify.genre),Handle material (product.metafields.shopify.handle-material),Hardware material (product.metafields.shopify.hardware-material),Instrument accessory material (product.metafields.shopify.instrument-accessory-material),Instrument material (product.metafields.shopify.instrument-material),Item condition (product.metafields.shopify.item-condition),Manufacturer type (product.metafields.shopify.manufacturer-type),Material (product.metafields.shopify.material),Media access (product.metafields.shopify.media-access),Media theme (product.metafields.shopify.media-theme),Model train accessory type (product.metafields.shopify.model-train-accessory-type),Model train theme (product.metafields.shopify.model-train-theme),Molding application (product.metafields.shopify.molding-application),Music genre (product.metafields.shopify.music-genre),Nut form (product.metafields.shopify.nut-form),Style (product.metafields.shopify.style),Suitable for material type (product.metafields.shopify.suitable-for-material-type),Target audience (product.metafields.shopify.target-audience),Washer form (product.metafields.shopify.washer-form),Diameter of Arbor (product.metafields.specs.diameter_of_arbor),Diameter of Loop (product.metafields.specs.diameter_of_loop),Inner Connection Type (product.metafields.specs.inner_connection_type),Length (product.metafields.specs.length),Outer Connection Type (product.metafields.specs.outer_connection_type),Thickness (product.metafields.specs.thickness),Width (product.metafields.specs.width),Tools_Used (product.metafields.thephonographshop.tools_used),Applications (product.metafields.tps.applications),Components (product.metafields.tps.components),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
wall-kane-needles-50-count-medium-nos-1000mmx-n-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/ACC-NDL-WKN-1001LMX-N_2.jpg?v=1753916366,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wall-kane-needles-50-count-medium-nos-1000mmx-n-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/ACC-NDL-WKN-1001LMX-N_3.jpg?v=1753916366,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wall-kane-needles-50-count-medium-nos-1000mmx-n-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/ACC-NDL-WKN-1001LMX-N_4.jpg?v=1753916366,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wall-kane-needles-50-count-medium1000mx-n,Wall-Kane Needles 50 Count - Medium NOS (1000MMX-N),"<p>These needle packages are considered collector's items and not sold as a source for playable needles. The packages state 50 needles but we have not opened or counted.</p>
<p>Length: ~1 3/16""<br>Width: ~1 1/16""<br>Height: ~3/8""<br>Needle Count: 50 Stated on Package<br>Tone: Medium</p>",The Phonograph Shop,Uncategorized,Needles,"NOS, Original Parts",TRUE,Title,Default Title,,,,,,,,ACC-NDL-WKN-1000MMX-N,28.34952313,shopify,0,deny,manual,3.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/ACC-NDL-WKN-1000MMX-N_1.jpg?v=1753912278,1,,FALSE,,,,,,,,,,,,,,,,,New Old Stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oz,,2,active
wall-kane-needles-50-count-medium1000mx-n,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/ACC-NDL-WKN-1000MMX-N_2.jpg?v=1753912278,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wall-kane-needles-50-count-medium1000mx-n,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/ACC-NDL-WKN-1000MMX-N_3.jpg?v=1753912278,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wall-kane-needles-50-count-medium1000mx-n,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/ACC-NDL-WKN-1000MMX-N_4.jpg?v=1753912278,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edison-model-home-d-third-shaft-1998pf-o,Edison Model Home D Third Shaft (1998PF-O),,The Phonograph Shop,Uncategorized,Intermediate Shafts,Original Parts,TRUE,Title,Default Title,,,,,,,,MOV-3RD-SHFT-EDN-1998PF-O,42.52428469,shopify,4,deny,manual,12.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/MOV-3RD-SHFT-EDN-1998PF-O.jpg?v=1753665937,1,,FALSE,,,,,,,,,,,,,,,,,Certified Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oz,,6.5,active
belknap-circus-wagon-tire-1000pf-r,Belknap Circus Wagon Tire (1000PF-R),"<p>Tire for:</p>
<ul>
<li>Belknap Circus Wagon</li>
</ul>
<p><strong>Dimensions</strong></p>
<ul>
<li>Inside Diameter: 2 5/8""<br>
</li>
<li>Thickness: 1/4""<br>
</li>
<li>Finish: Plain<br>
</li>
<li>Material: Rubber</li>
</ul>",The Phonograph Shop,Uncategorized,Tires,,TRUE,Title,Default Title,,,,,,,,TOY-TIRE-BLK-1000PF-R,14.17476156,shopify,31,deny,manual,6.49,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/TOY-TIRE-BLK-1000PF-R_1.jpg?v=1747951779,1,,FALSE,,,,,,,,,,,,,,,,,Reproduction,,,,,,,,,,,,,,,,,,vehicles,historical,,,,,,,,,,,,,,,,,,,oz,,3.24,active
edison-goul-moulded-2m-cylinder-record-bell-solo-from-the-magic-flute-gm9324-o,"Edison Goul Moulded [2M] Cylinder Record Bell Solo from the ""Magic Flute"" (GM9324-O)","<p>Gold Moulded Cylinder:</p>
<ul>
<li>Title: Bell Solo from the ""Majic Flute""<br>
</li>
<li>Performer(s): Albert Benzler<br>
</li>
<li>Release Year: 1906<br>
</li>
<li>Take Number: N/A<br>
</li>
<li>Mold Number: N/A<br>
</li>
<li>Condition: Excellent<br>
</li>
<li>Box: Yes<br>
</li>
<li>Lid: No</li>
</ul>",The Phonograph Shop,Media > Music & Sound Recordings > Records & LPs,Cylinder Records,Original Parts,TRUE,Title,Default Title,,,,,,,,REC-CYL-EDN-GM9324-O,76.54371244,shopify,1,deny,manual,19.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/REC-CYL-EDN-GM9324-O_1.jpg?v=1745614721,1,,FALSE,,,,,,,,,,,,,,,,,Certified Original,,,,,,,,,,,,,,,,,,,,,classic,,,,,,,,,,,,,,,,,oz,,10,active
edison-goul-moulded-2m-cylinder-record-bell-solo-from-the-magic-flute-gm9324-o,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/REC-CYL-EDN-GM9324-O_2.jpg?v=1745614721,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edison-goul-moulded-2m-cylinder-record-bell-solo-from-the-magic-flute-gm9324-o,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/REC-CYL-EDN-GM9324-O_3.jpg?v=1745614721,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edison-grease-jar-292pf-o,Edison Grease Jar (292PF-O),"<p>Edison Grease Jar:</p>
<p><strong>Dimensions</strong></p>
<ul>
<li>Diameter: ~1"" <br>
</li>
<li>Height: ~3/4""<br>
</li>
<li>Comments: Jar is open and empty.  Condition of these items varies, if you have specific needs please reach out before ordering.</li>
</ul>",The Phonograph Shop,Uncategorized,Grease Jars,Original Parts,TRUE,Title,Default Title,,,,,,,,MOV-GRS-EDN-292PF-O,8.504856938,shopify,1,deny,manual,22.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/MOV-GRS-EDN-293PF-O_1.jpg?v=1745537788,1,,FALSE,,,,,,,,,,,,,,,,,Certified Original,,,,,,jar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oz,,11.5,active
edison-grease-jar-292pf-o,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/MOV-GRS-EDN-293PF-O_2.jpg?v=1745537789,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edison-grease-jar-292pf-o,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/MOV-GRS-EDN-293PF-O_3.jpg?v=1745537789,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edison-main-spring-grease-294pf-o,Edison Main Spring Grease (294PF-O),"<p>Edison Grease for:</p>
<ul>
<li>Display only</li>
</ul>
<p><strong>Dimensions</strong></p>
<ul>
<li>Length: ~4""<br>
</li>
<li>Width: ~7/8"" <br>
</li>
<li>Comments: The condition of these will vary.  If you have specific needs, please reach out before ordering.</li>
</ul>",The Phonograph Shop,Uncategorized,Lubricant,,TRUE,Title,Default Title,,,,,,,,SPB-GRS-EDN-294PF-O,28.34952313,shopify,1,deny,manual,19.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/SPB-GRS-EDN-294PF-O_1.jpg?v=1745446074,1,,FALSE,,,,,,,,,,,,,,,,,Certified Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oz,,10,active
edison-battery-oil-bottle-295e-o,Edison Battery Oil Bottle (295E-O),"<p>Edison Battery Oil Bottle [Empty] (295E-O)</p>
<p><strong>Dimensions</strong></p>
<ul>
<li>Diameter: ~19/16""<br>
</li>
<li>Height: ~4 1/8""<br>
</li>
<li>Material: Glass<br>
</li>
<li>Condition: Empty</li>
</ul>",The Phonograph Shop,Uncategorized,Battery Oil Bottles,Original Parts,TRUE,Title,Default Title,,,,,,,,ACC-BAT-OIL-BTL-EDN-295E-O,56.69904625,shopify,0,deny,manual,8.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/ACC-BAT-OIL-BTL-EDN-295E-O_1.jpg?v=1745444865,1,,FALSE,,,,,,,,,,,,,,,,,Certified Original,,,clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oz,,4.5,active
edison-battery-oil-bottle-295e-o,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/ACC-BAT-OIL-BTL-EDN-295E-O_2.jpg?v=1745444865,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edison-battery-oil-bottle-295e-o,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/ACC-BAT-OIL-BTL-EDN-295E-O_3.jpg?v=1745444865,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edison-battery-oil-bottle-295e-o,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/ACC-BAT-OIL-BTL-EDN-295E-O_4.jpg?v=1745444865,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
victor-taper-tube-support-17641apf,Victor Taper Tube Support (17641APF),"<p>Taper Tube Support (Back Bracket) for:<br data-mce-fragment=""1""></p>
<ul>
<li>Granada<br data-mce-fragment=""1"">
</li>
<li>Granada Electric<br data-mce-fragment=""1"">
</li>
<li>4-4<br data-mce-fragment=""1"">
</li>
<li>4-4 Electric<br data-mce-fragment=""1"">
</li>
<li>4-7<br data-mce-fragment=""1"">
</li>
<li>4-7 Electric<br data-mce-fragment=""1"">
</li>
<li>4-20<br data-mce-fragment=""1"">
</li>
<li>4-20 Electric<br data-mce-fragment=""1"">
</li>
<li>7-30<br data-mce-fragment=""1"">
</li>
<li>7-30 Electric<br data-mce-fragment=""1"">
</li>
<li>8-4<br data-mce-fragment=""1"">
</li>
<li>8-7<br data-mce-fragment=""1"">
</li>
<li>8-30<br data-mce-fragment=""1"">
</li>
<li>8-30 Electric<br data-mce-fragment=""1"">
</li>
<li>6-60<br data-mce-fragment=""1"">
</li>
<li>9-15<br data-mce-fragment=""1"">
</li>
<li>9-15 Electric<br data-mce-fragment=""1"">
</li>
<li>9-40<br data-mce-fragment=""1"">
</li>
<li>12-25<br data-mce-fragment=""1"">
</li>
<li>1-90<br data-mce-fragment=""1"">
</li>
<li>Others</li>
</ul>
<p><strong>Dimensions</strong><br data-mce-fragment=""1""></p>
<ul>
<li>Height: 3 13/16""<br data-mce-fragment=""1"">
</li>
<li>Diameter of Base: 2 23/32""<br data-mce-fragment=""1"">
</li>
<li>Inside Diameter of Base: 1 39/64""</li>
<li>Finish: Plain</li>
<li>Material: Brass</li>
<li>Comments: Comes with Set Screw</li>
</ul>",thephonographshop,Uncategorized,Brackets,,TRUE,Title,Default Title,,,,,,,,ARM-SUP-VIC-17641APF-R,133.2427587,shopify,22,deny,manual,29.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/ARM-SUP-VIC-17641APF-R_1.jpg?v=1745443400,1,,FALSE,,,,,,,,,,,,,,,,,Reproduction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oz,,15,active
victor-taper-tube-support-17641apf,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/ARM-SUP-VIC-17641APF-R_2.jpg?v=1745443400,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
victor-taper-tube-support-17641apf,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/ARM-SUP-VIC-17641APF-R_3.jpg?v=1745443400,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
victor-taper-tube-support-17641apf,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/ARM-SUP-VIC-17641APF-R_4.jpg?v=1745443400,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edison-door-molding-for-c-150-ps2519ma-o,Edison Door Molding for C-150 (PS2519MA-O),"<p>Door Molding for (Bottom Trim):</p>
<ul>
<li>Edison Diamond Disc C-150</li>
</ul>
<p><strong>Dimensions</strong></p>
<ul>
<li>Length: ~15 1/2""<br>
</li>
<li>Width: ~1 3/8""<br>
</li>
<li>Thickness: ~3/16""<br>
</li>
<li>Finish: Varnish<br>
</li>
<li>Material: Mahagony</li>
</ul>",The Phonograph Shop,Hardware > Building Materials > Molding,Cabinet Molding,Original Parts,TRUE,Title,Default Title,,,,,,,,CAB-DR-BTM-MLD-EDN-PS2519MA-O,56.69904625,shopify,1,deny,manual,15.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/CAB-DR-BTM-MLD-EDN-PS2519MA-O_1.jpg?v=1744849364,1,,FALSE,,,,,,,,,,,,,,,,,Certified Original,,,brown,,,,,,,,,,,,wood,,,,,casing,,,retro-vintage,,,,,,,,,,,,,,,oz,,8,active
edison-goul-moulded-2m-cylinder-record-liza-gm10215-o,Edison Goul Moulded [2M] Cylinder Record Liza (GM10215-O),"<p>Gold Moulded Cylinder:</p>
<ul>
<li>Title: Liza<br>
</li>
<li>Performer(s): Peerless Quartette<br>
</li>
<li>Release Year: 1909<br>
</li>
<li>Take Number: 1<br>
</li>
<li>Mold Number: 10<br>
</li>
<li>Condition: Excellent<br>
</li>
<li>Box: Yes<br>
</li>
<li>Lid: No</li>
<li>Condition: Excellent with minor chattering on the bottom.  Most like from a reproducer that was set to low.</li>
</ul>",The Phonograph Shop,Media > Music & Sound Recordings,Cylinder Records,Original Parts,TRUE,Title,Default Title,,,,,,,,REC-CYL-EDN-GM10215-O,45.359237,shopify,1,deny,manual,19.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/REC-CYL-EDN-GM10215-O_1.jpg?v=1744834440,1,,FALSE,,,,,,,,,,,,,,,,,Certified Original,,,,,,,,,,,,,,,,,,,,,race,,,,,,,,,,,,,,,,,oz,,10,active
edison-goul-moulded-2m-cylinder-record-liza-gm10215-o,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/REC-CYL-EDN-GM10215-O_2.jpg?v=1744834440,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edison-goul-moulded-2m-cylinder-record-liza-gm10215-o,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0554/0236/4972/files/REC-CYL-EDN-GM10215-O_3.jpg?v=1744834440,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
